wrongdoing,accident,11
tetanus,seizures,2
veins,pain,11
weakness,fear,3
compound,bitterness,2
death,impact,5
money,output,17
stress,crash,3
men,strength,9
nerves,stress,7
hernias,pain,3
merger,nba,2
age,conservatism,3
streptococcus,disease,2
fungus,seed,8
war,hatred,7
speed,concern,2
situation,residents,2
explosion,flames,3
impacts,disruption,2
ets,deaths,9
stress,mind,4
exposure,effect,2
ovulation,pain,12
hysteria,violence,2
hysteria,blindness,2
hysteria,panic,6
culture,constraints,12
tension,exhaustion,2
spells,effects,7
sin,alcoholism,3
defense,trouble,2
smog,emissions,14
hatred,cruelty,9
strife,death,6
speculations,gap,2
hnpcc,cancer,6
parasite,bilharzia,2
eggs,illness,4
spring,easter,3
senescence,death,6
spondylitis,pain,4
disorder,feelings,6
rod,backup,2
ailments,hospitalization,3
coffee,depression,3
coffee,irritability,5
microorganism,diarrhea,15
religion,poverty,27
hazards,uncertainty,2
consequences,uncertainty,2
youngsters,disturbance,2
actions,growth,2
accident,discomfort,3
evaluations,decisions,3
tetanus,bacteria,2
sweat,germs,6
law,litigation,4
errors,conviction,4
gel,irritation,3
condition,amputation,9
god,perfections,3
eclipse,events,7
anger,rape,2
love,delight,2
pasteurization,milk,6
hera,artemis,3
antibiotics,scarring,5
floods,failure,8
abortion,miscarriage,3
hormones,failure,3
alcoholism,diabetes,5
confidence,increase,3
offenses,forfeiture,3
misinformation,panic,2
enthusiasm,problems,3
isolation,conditions,5
electrocution,pain,2
straps,pain,3
assimilation,knowledge,2
seasickness,drowsiness,5
christ,grace,5
knowledge,things,2
deterioration,cancer,8
instability,disaster,2
negotiations,nothing,3
eosinophilia,fever,2
bacteria,strokes,3
equipment,fire,3
inflation,changes,5
storm,tornados,3
culture,characteristics,2
love,crime,3
medication,hypertension,3
frustration,rebellion,4
smoke,headaches,4
size,anxiety,4
migrations,challenges,4
modification,harm,49
perils,damages,9
grievances,terrorism,3
equipment,hazards,10
fleas,animals,7
obstacles,disease,4
signals,attention,3
stupidity,grief,2
impurities,disease,11
bronchitis,asthma,11
miscommunication,issues,7
motivation,problems,3
nutrition,problems,9
disclosure,reprisals,11
constipation,bedwetting,28
confusion,relapse,7
antibiotics,infections,12
infections,bleeding,10
miscarriage,bleeding,10
chlorine,minerals,3
damage,constipation,6
mutation,hnpcc,19
nsaids,nausea,8
applicant,delay,13
pathogens,dysentery,2
pitta,coughs,3
hypoxia,stroke,2
dampness,eczema,17
evangelism,conversions,3
saturn,confusion,10
saturn,fear,11
pride,success,4
fleas,rashes,2
monotheism,polytheism,3
hormone,increase,2
illness,anaemia,3
gossip,division,16
breasts,neck,3
sadness,pleasure,6
verification,changes,2
combat,ptsd,3
installation,damages,18
tactics,death,3
infection,vertigo,2
injury,dementia,2
presence,discomfort,4
cucumbers,gas,6
colonization,suffering,5
urbanisation,changes,3
deceiver,confusion,4
illness,bankruptcies,10
felv,cancer,2
worry,ailments,3
anxiety,ailments,3
work,danger,2
reflections,problems,5
music,harm,3
stress,delamination,2
brain,weakness,7
innovation,opportunity,7
eab,damage,4
flomax,fainting,10
substances,pollution,6
meds,symptoms,3
lopid,dizziness,3
mammography,cancer,10
raid,destruction,4
nightfall,blackness,2
crash,explosions,4
film,debate,13
acs,morbidity,3
disease,joints,12
diabetes,glucose,9
allergens,sickness,2
motivation,crime,2
violence,injustice,3
cholesterol,hypertriglyceridemia,2
hypertension,progression,7
adultery,child,2
epi,malnutrition,14
riders,accidents,6
abuse,silencing,3
salinization,desertification,2
action,resignation,4
strokes,disabilities,3
corruption,impunity,2
divorce,upheaval,4
play,sack,2
segregation,conflict,5
images,violence,15
cough,headache,3
cough,irritation,5
uncertainty,litigation,3
stress,qi,9
wetness,germs,4
listeria,problems,5
pregnancy,resignation,6
attention,sales,6
estrogen,proliferation,3
research,costs,21
steps,destruction,2
stimulus,recovery,3
heredity,diseases,5
racism,holocaust,2
isolation,differences,2
parasite,heartworms,2
pathology,changes,2
death,renewal,3
object,puncture,2
situation,disillusionment,2
skin,itchiness,2
education,freedom,16
symptom,death,2
biopsy,damage,2
corrosion,outages,3
fibromyalgia,suffering,3
mps,pain,4
minerals,color,4
events,landslides,2
stress,strains,4
road,glory,3
error,ade,3
affairs,pain,3
scarring,adhesions,3
constipation,obesity,8
snow,hassle,4
inactivity,disability,2
inactivity,illnesses,5
frustration,divorces,5
insects,contamination,2
rodents,contamination,3
flooding,contamination,2
losses,decrease,7
conditions,scarcity,2
isolation,lethargy,2
pregnancy,cravings,5
phosphorus,blooms,2
toxics,cancer,5
gums,problems,7
damage,fracture,2
milk,hives,3
copd,emphysema,10
vaccination,sickness,2
hace,coma,3
water,disasters,13
therapies,problems,3
overdose,tremors,4
gene,pra,2
death,colors,2
stone,vision,4
prions,bse,2
conditions,trip,2
ingestion,deaths,3
samsara,suffering,6
action,reward,3
events,case,4
information,apprehension,2
factors,delays,23
prohibition,increase,7
inflammation,sunburn,4
sin,barrenness,5
ditropan,drowsiness,15
circumstances,discomfort,2
experimentation,changes,5
joke,problems,7
parameters,instability,2
nibiru,earthquakes,2
virus,coldsores,2
activity,success,2
diversion,damage,2
enemy,problems,8
coupling,errors,2
printer,confusion,2
hailstorm,damage,5
disease,kidneys,12
disease,muscles,17
problems,bloating,11
ssris,increase,2
deposits,stroke,4
stenosis,numbness,4
clothing,friction,9
god,effects,9
toxins,ailment,3
alcohol,riots,5
valerian,dizziness,6
excitement,reaction,5
strattera,tics,3
mutation,differences,5
experiments,explosions,5
award,achievements,4
stereotypes,suspicions,2
evaluation,changes,3
stress,issue,8
employer,injury,5
terrorism,devastation,11
malfunction,problems,8
kids,accidents,2
molluscum,lesions,4
mutation,fap,4
wealth,immorality,6
turmoil,recession,2
ulcers,infections,4
prevacid,diarrhea,3
realization,actions,3
change,costs,31
irritation,bronchitis,6
perpetrator,injury,3
externalities,inefficiencies,5
heat,migraine,8
stress,muscles,8
tension,fight,3
dps,damage,3
anxiety,sadness,4
conditions,emigration,2
traumas,anger,3
void,motion,2
rumor,confusion,2
energy,interference,3
fear,struggle,3
illness,viruses,5
accident,impact,5
tsunami,earthquakes,3
loss,reactions,3
control,costs,21
storm,disaster,2
lymphoedema,pain,6
responses,discipline,2
charges,increase,6
clouds,waves,8
miscalculations,wars,12
death,disabilities,4
winds,chaos,2
childbirth,trauma,4
enteroviruses,meningitis,7
surgery,suffering,12
operation,injuries,4
thinking,death,5
misinformation,delays,3
law,wrath,2
motives,repentance,3
busyness,stress,3
eating,diseases,7
activity,inactivity,3
pleasure,addiction,3
pesticides,liver,3
osteoporosis,degeneration,2
surge,stroke,3
itching,symptoms,2
allergies,diarrhea,12
hytrin,dizziness,8
christ,resurrection,5
virtualization,complexity,5
intellect,motion,3
condition,fall,4
wobble,problems,2
noise,nausea,3
uncleanliness,acne,5
fear,sorrow,2
anguish,grief,2
effort,film,2
injury,tenosynovitis,2
retroviruses,infections,5
illness,separation,8
gravity,fall,2
pornography,perversion,2
adhd,stress,4
misdiagnoses,mortality,2
malady,havoc,2
humidity,condition,20
condensation,deterioration,2
spring,flooding,2
anger,injury,3
undernutrition,poverty,2
schemes,problems,2
disruption,reduction,2
anger,inflammation,7
dogs,allergies,3
bumps,pimples,3
pimples,redness,4
events,neurodegeneration,4
potion,passion,3
cosmetics,blemishes,3
discrimination,hiv,4
materials,fires,3
misconduct,dismissal,2
bacterium,cellulitis,16
mutations,predisposition,2
ptsd,violence,7
litigation,expenses,20
repetition,discomfort,6
losses,frustrations,3
revelation,problems,2
fire,evacuation,2
syndromes,symptoms,3
sprains,bruises,2
arthritis,numbness,2
relationships,success,4
tramadol,dependence,9
steps,terrace,2
prosecution,costs,6
dna,cells,5
cynicism,apathy,8
caregiving,stress,25
anxiety,accidents,2
pms,mood,12
disease,malignancy,5
shortages,symptoms,44
nicotine,smoking,6
water,increase,4
apartheid,trauma,2
geography,division,4
hormone,diseases,5
toxins,effect,11
disease,costs,38
privatisation,redundancies,3
progress,destruction,6
mites,scabies,14
surgery,increase,3
death,guilt,2
declines,decrease,3
dht,bph,4
pentecost,power,2
pentecost,unity,4
water,dangers,4
mineral,cancer,26
errors,disputes,4
sunlight,shadows,2
reflection,realization,3
impact,fireball,3
news,relief,3
distractions,problems,3
distractions,injuries,2
aspergillus,sinusitis,9
technology,disembodiment,8
environment,difficulties,2
foreclosure,homelessness,7
fall,condition,3
vibrios,disease,5
overuse,shortages,2
diseases,vomiting,13
gingivitis,discomfort,2
antibodies,death,2
openness,vulnerability,4
enzyme,increase,4
discovery,oppression,5
myths,misunderstanding,3
insanity,insanity,3
vomiting,symptoms,2
blockages,leaks,3
insulin,energy,2
situation,abuse,2
items,delays,2
steroids,glaucoma,7
steroids,obesity,3
circumstances,cheating,2
soap,irritations,2
gunshots,deaths,7
attitude,disaster,3
subluxation,interference,3
event,precipitation,5
activities,confusion,9
arrival,shock,4
racism,destruction,7
simplification,errors,10
situation,disaster,6
bacteria,damages,26
shipping,delays,6
chantix,depression,2
bitterness,depression,3
behaviors,disqualification,3
heating,fires,4
inflammation,hyperresponsiveness,2
pumps,problems,9
weakness,demise,5
gmo,damage,5
anxiety,actions,2
mildew,losses,3
music,music,2
severity,symptoms,8
condition,face,2
fever,dizziness,3
dualism,problems,9
sneakers,problems,3
independence,war,2
cats,injuries,5
luck,discovery,4
film,offence,2
hyperactivity,seizures,2
movements,cracks,2
medication,obesity,3
grief,issues,4
mice,diseases,3
enzyme,ed,2
saliva,infection,9
confidence,complacency,18
economy,fear,3
birth,events,3
interaction,deformation,2
demon,situation,2
gravity,variations,5
sins,scandal,3
health,changes,2
issues,reaction,2
indictments,trials,2
operation,damages,9
greed,actions,2
love,knowledge,6
cigarettes,fatalities,10
rivalry,war,13
detours,delays,2
habit,cancer,3
incident,crash,7
jamming,problems,5
competition,division,2
christians,calamity,2
phones,accidents,10
accident,fallout,2
investigation,recall,37
circumstances,resignation,3
fluconazole,condition,4
cipro,drowsiness,8
contractor,delay,17
age,problem,4
invasion,deaths,14
behavior,anxiety,4
collaboration,learning,2
triazolam,amnesia,3
hd,symptoms,3
errors,consequences,2
risks,cost,8
habit,bruxism,8
dirt,pimples,11
situation,attacks,2
bondage,sin,2
collision,whiplash,4
gonorrhea,septicaemia,3
gonorrhea,arthritis,10
metabolism,diseases,6
inaction,disasters,3
flood,events,3
carcinoma,death,2
sweating,loss,4
vioxx,problem,12
aftermath,death,8
exposure,horror,3
action,habit,8
serotypes,pneumonia,15
corrosion,damages,5
tobacco,condition,2
conflict,instability,5
attitude,depression,2
colds,rheumatism,4
pain,sciatica,4
blunders,war,3
cable,problems,2
success,increase,6
bacteria,blockage,4
blockages,infection,6
process,frustration,4
accident,burning,8
forechecking,turnover,2
prostitution,aids,5
syndrome,hypothyroidism,5
hyperthyroidism,anovulation,4
education,skills,6
materials,hazards,8
sales,revenue,2
algae,taste,3
chocolate,heartburn,3
ads,traffic,4
facebook,cancer,4
sweating,overheating,8
medicines,fatigue,6
poverty,alcoholism,2
water,power,8
passion,rage,2
passion,fear,3
knowledge,confusion,2
waterspouts,damage,6
collisions,casualties,2
rapes,pregnancy,7
design,problem,3
theft,death,2
bse,nvcjd,3
spanking,anxiety,4
boy,trouble,2
hurricanes,wind,6
infection,convulsions,2
hormones,association,21
skin,eczema,3
perfumes,allergies,9
mistakes,discomfort,4
entropy,death,6
jealousy,guilt,3
intervention,decreases,3
people,problems,20
increase,disease,5
inattentiveness,suicide,6
inattentiveness,alcoholism,6
relationship,alcoholism,6
punctuation,problems,3
gold,value,3
sightings,fear,5
injuries,harm,5
politics,shortages,3
defilements,stress,18
bleeding,fatigue,3
delusion,fear,11
incident,realization,2
prospero,shipwreck,2
yeasts,dandruff,4
smoking,consumption,6
iud,discomfort,5
doctors,diseases,27
nash,scarring,2
colonialism,damages,3
responsibility,problems,4
excesses,recessions,3
abuse,feelings,2
sampling,uncertainty,8
values,destruction,2
neurotoxin,aggression,11
obedience,holiness,7
storms,disruptions,2
symptoms,flu,5
strokes,dysphagia,4
symbols,feelings,3
exercise,perspiration,4
failures,costs,4
pollution,devastation,3
observation,criticism,3
conflict,resentment,5
conflict,hostility,6
elastin,wrinkles,9
problems,fraud,2
syndrome,sleeplessness,2
chocolate,stains,44
symptoms,infertility,2
nitroglycerin,dizziness,10
nitroglycerin,fainting,5
shorts,fires,3
crime,suspension,41
waxing,discomfort,4
acid,sickness,3
oxidosis,acidosis,9
coronavirus,pneumonia,6
sars,symptoms,8
faith,praise,60
sunlight,algae,2
parasite,cryptosporidiosis,12
nature,hazards,2
conditions,rape,3
links,sites,13
sun,overheating,3
diabetics,problems,3
fluid,pressure,4
resistance,relapse,4
selfishness,disharmony,5
syndrome,diarrhea,19
christianity,science,2
wars,stagnation,3
relationships,business,3
claustrophobia,anxiety,6
hurricanes,rain,2
diamonds,power,3
diamonds,wealth,6
religion,irrationality,3
modernism,atheism,5
audi,sensation,3
fire,house,2
neglect,autism,3
energy,pollution,10
comments,misunderstanding,5
infection,imbalance,2
diseases,lameness,7
omission,problems,3
cartoons,offence,6
manufacturing,defects,7
sinusitis,complications,4
myelomeningocele,hydrocephalus,5
diverticulitis,bleeding,3
diverticulitis,tears,3
diverticulitis,infections,14
trade,prosperity,2
mold,deaths,3
distillation,water,10
ssris,behavior,2
medicaid,problems,5
medicare,problems,2
employees,injuries,4
ego,samsara,9
nationalism,problems,3
acquisition,losses,6
chemical,blindness,6
toxins,injuries,3
stimulus,anxiety,12
blockage,pressure,15
changes,corruption,9
exercise,discovery,4
trail,apoptosis,2
pad,ulcers,3
rage,attacks,8
drug,overdose,5
thc,anxiety,3
attack,explosions,5
incontinence,anxiety,3
choices,confusion,5
solidarity,success,2
congestion,symptoms,6
virus,roseola,10
diseases,fractures,4
infections,fractures,2
fire,impacts,3
lactose,allergies,4
heat,movement,8
discrimination,hurt,7
rodents,diseases,2
hd,changes,3
parasites,colitis,4
revenues,surplus,2
water,reaction,2
weather,postponements,3
diseases,hypothyroidism,8
illness,cancer,4
sun,flare,3
accident,inconvenience,4
injury,memories,9
process,complications,3
contusion,damage,7
pressure,seizures,2
crime,gain,3
fasting,prayer,2
loss,wrinkles,2
misunderstanding,issues,2
calcium,muscles,13
premarin,cancer,6
chemicals,infection,8
nutrition,deaths,3
ordeals,visions,2
prasugrel,cancer,3
dht,damage,8
earthquake,havoc,7
light,truth,5
incidents,alarm,4
hiv,fear,15
feelings,overeating,7
medications,strokes,4
aging,vertigo,3
abnormalities,miscarriage,3
neglect,distress,8
issues,complexity,3
breach,suspension,5
injury,bruise,4
atherosclerosis,hyperlipidemia,2
abandonment,injury,4
incest,trauma,2
medication,scarring,3
brachytherapy,complications,6
precession,shift,8
loan,loss,2
diabetes,disabilities,7
blood,erection,7
malaria,fatalities,2
breakage,problem,7
pain,dizziness,2
hcv,damage,3
steroids,symptoms,4
fatigue,lightheadedness,2
babies,damage,2
eczema,problems,25
insemination,pregnancy,2
smoking,irritation,5
ignorance,panic,3
products,gas,4
appliances,overload,3
program,change,7
bulimia,anxiety,3
mutation,aho,2
parasite,outbreaks,4
circumstance,success,3
allergens,diseases,3
sins,troubles,2
shooting,paralysis,6
flooding,dangers,23
spinach,outbreak,3
infection,abnormalities,6
deficiencies,revocation,2
negligence,leak,2
ssris,withdrawal,3
alopecia,baldness,3
issues,impotence,4
stroke,bleeding,2
conditions,irritability,4
contaminants,problem,3
viruses,downtime,11
vapors,explosion,10
cancers,cancer,2
bodhicitta,enlightenment,2
concussion,dizziness,3
drug,misconduct,4
experiences,behaviors,2
operation,stroke,4
arthritis,psoriasis,53
nature,dangers,2
blindness,costs,9
migration,dislocation,7
candida,inflammation,6
misunderstandings,harassment,6
substance,drowsiness,2
behaviors,reinforcement,3
ignorance,success,2
decision,failure,2
issues,challenges,4
premises,conclusions,3
muscle,conditions,12
suicide,stress,8
conditions,inaccuracies,9
delays,stress,2
interruptions,anger,2
warts,discomfort,12
corrosion,breaks,2
responsibilities,strain,3
implantation,damage,3
suppression,repression,5
starvation,anemia,2
drugs,defects,7
obstruction,diarrhea,2
behavior,alcoholism,2
inequality,tensions,2
inequality,conflicts,2
exploitation,conflicts,2
beauty,murder,5
condition,skin,5
reduction,improvement,2
practices,pain,4
tartar,bacteria,2
disease,vulnerability,5
omeprazole,hypochlorhydria,2
policies,difficulties,2
discipline,forgiveness,4
stigma,disability,5
disclosure,discrimination,8
trauma,imbalance,2
accumulation,improvement,20
boredom,disease,4
laziness,timidity,2
kindness,misunderstanding,37
kindness,mistrust,37
fighting,consequences,9
imagination,recipes,2
privatisation,eviction,10
increase,suffering,5
restraints,injuries,4
disruptions,reconfiguration,5
childbirth,goddess,2
incidents,claims,10
aminos,anabolism,63
partnership,wins,7
stitching,scarring,41
air,allergies,7
genetics,lines,12
diseases,lines,2
fever,substances,4
anger,quarrels,3
anger,fights,3
fights,problems,2
electrocutions,injuries,8
famine,murders,6
contusion,bleeding,6
science,innovation,2
heraclitus,logic,11
measures,problems,11
demonstrations,glory,5
imbalance,burnout,3
metaldehyde,death,2
metaldehyde,seizure,2
metaldehyde,tremors,2
gate,hell,3
love,deed,4
living,benefits,6
darryl,drought,2
trendiness,disaster,2
clomid,nausea,3
talents,bambi,2
talents,fantasia,3
behavior,theft,4
stress,progesterone,2
sukaramaddava,illness,6
deliberation,behavior,2
obstacles,confusion,3
sunshine,damage,2
objects,impressions,2
rejection,conflict,2
cytokinesis,septation,3
uroxatral,ifis,2
failure,trabeculectomy,3
wrinkles,bubbles,4
bubbles,bubbles,5
medication,murder,16
learning,dreams,44
ecsf,hydrocephalus,9
corrugation,vibrations,2
causes,struggles,5
prosperity,godlessness,5
yasi,death,2
abscesses,fever,4
spell,fibers,4
burnout,aggression,2
burnout,irritability,2
forces,mania,2
chocolate,comfort,2
hyperhomocysteinemia,disorders,2
oma,problems,3
odd,disorders,3
scanners,mutations,3
employee,costs,27
treatments,differences,2
degeneration,spondylolisthesis,6
trauma,spondylolisthesis,6
osteoporosis,deterioration,6
appointment,feeling,2
suppression,discontent,2
racism,attention,3
portugal,grape,3
ultracet,dizziness,96
ultracet,agents,101
density,durability,7
trojans,damages,20
offerings,tithes,3
constipation,aids,2
products,strokes,7
poisoning,problem,7
practice,methods,2
oppression,hopelessness,6
subsidies,costs,2
illumination,regions,3
antibiotics,diseases,3
medicine,illness,4
telegram,woe,3
tonsillitis,inflammation,4
enthusiasm,performance,2
liquidity,risks,6
allah,action,2
testing,costs,55
step,internalization,7
step,endocytosis,7
problem,solutions,10
skill,successes,12
hygiene,animals,4
prejudice,infertility,2
coercion,infertility,2
titleforalldesks,fvwm,19
caring,action,4
misunderstandings,stereotypes,2
fruit,sin,2
exposure,burns,4
folklore,beliefs,4
mythology,beliefs,4
happiness,intemperance,2
suspension,breach,2
captain,trouble,6
implants,impediments,2
events,diabetes,14
edwin,stampede,2
cisg,complications,2
overeating,sweating,2
inheritance,disorder,4
oversleeping,troubles,3
setpoint,people,3
increase,condition,2
screening,overdetection,7
lipids,salsa,4
red,magic,4
red,fairies,4
sin,injury,13
insomnia,clumsiness,3
tarot,witchcraft,3
lrs,mammography,2
menopause,irritation,2
sting,screwjob,2
disturbances,stress,5
freshwater,bleaching,5
worship,witness,6
burnout,disability,3
burnout,death,3
condition,pseudogout,2
disease,pseudogout,2
bacteria,infants,9
acquisitions,costs,24
chlorine,slagging,2
sulphur,slagging,2
sodium,slagging,2
restrictions,unemployment,2
foodstuffs,suffering,5
diamonds,luxuries,4
trip,marché,5
conversation,uneasiness,2
state,injustice,2
kingdom,peace,3
kingdom,happiness,3
interruption,paralysis,2
narcolepsy,gene,8
disorder,influenza,4
competition,increases,2
disease,icterus,2
medications,eds,2
rls,plms,3
manners,trouble,9
transits,dimming,2
avesta,zoroastrianism,3
freedom,confusion,11
syndromes,disability,8
banks,shivers,2
alkalines,damage,3
holes,weaknesses,3
fall,mortality,3
venues,disagreement,2
circumstance,insensitivity,4
odour,nuisance,2
merger,costs,10
event,unification,15
mountains,smog,2
chance,alignments,2
concentrations,unconsciousness,2
vapors,unconsciousness,5
vapors,death,3
avms,problems,4
zebeta,shock,46
dishonesty,abasement,12
hypocrisy,abasement,12
imposture,abasement,12
ignorance,abasement,12
conflict,benefits,6
screening,decrease,4
periodontitis,loosening,29
microorganisms,periodontitis,29
pregnancy,aches,20
enterovirus,poliomyelitis,3
planking,controversy,7
probation,purity,2
lessons,pass,2
aspartame,hunger,4
aspartame,depressions,4
aspartame,hypoglykamie,4
aspartame,hyperglykamie,4
aspartame,impotence,4
mismanagement,miscarriage,3
procedures,suspension,3
sun,drought,2
divisions,rivalry,2
thinking,therapy,3
virus,grid,3
multitasking,problems,2
dissatisfaction,robles,2
cheeses,outbreaks,2
mtv,problem,2
termites,devastation,2
eyeball,hyperopia,2
allele,haemophilia,2
nafta,injuries,2
dams,discharges,2
turkey,tensions,2
timestamp,problems,2
lamp,glare,2
technology,flexibility,2
speech,atmosphere,2
mediaction,nausea,2
weakness,delamination,2
asd,irritability,2
necrosis,headaches,4
dogs,mess,2
raccoons,mess,2
plenitude,intransigence,2
pneumoperitoneum,motion,2
drinks,bouts,2
weights,injury,2
reorganisation,victory,2
carboxypeptidase,obesity,2
dds,mutations,2
delivery,inconsistency,2
dialogue,accord,3
impotence,problems,2
merchandise,costs,2
tears,sorrow,2
fears,sorrow,2
necessity,accessories,2
bile,problems,2
snipers,wounds,2
changes,mark,2
ingestion,starvation,2
ingestion,malnutrition,2
negativity,violence,2
expenses,revenue,2
gmdb,exposure,2
tobacco,rls,2
seizures,aggression,2
consumers,freedom,2
administration,revenues,2
steadfastness,god,2
boldness,behaviour,2
platelets,stroke,2
bif,ideas,2
bif,collaborations,2
action,responsibility,2
belief,paradox,2
eruption,impaction,2
cortactin,psd,2
tami,problems,3
crisis,urgency,4
massage,vte,2
childbirth,ligaments,2
inclusions,breakage,2
voice,madness,2
ideas,unchangeability,2
graviton,attraction,2
fraud,demise,2
substance,response,2
corruption,revolt,3
sniffle,cough,2
competition,momentum,2
discrepancy,claims,2
peytons,isleham,2
confrontation,collaboration,2
turkey,connotation,3
methamphetamine,insomnia,2
fashion,femininity,3
performance,thinness,2
accommodations,democracy,2
compromises,democracy,2
cardiomyopathy,blindness,2
kazuhiro,pain,2
uranus,situation,2
flare,morphology,2
tourists,disturbances,2
mysteries,opportunities,4
swimming,fatigue,2
presuppositions,utterances,2
misunderstandings,utterances,2
jupiter,ethics,2
jupiter,ethnicity,2
jupiter,tribalism,2
gurdjieff,theosophy,2
hmos,frustration,2
hmos,misery,2
changes,aura,5
india,profits,2
illusions,suffering,2
god,newness,2
food,blindness,2
aging,debilities,2
sbir,technology,2
ballistic,explosions,2
lightning,explosions,2
manpads,explosions,2
scanners,cost,2
pebbles,dings,2
instabilities,blowout,2
crossgen,buzz,2
spread,vcfs,2
emp,phenomena,2
anaesthetics,paralysis,3
gains,change,2
religion,faith,2
permethrin,nausea,2
advances,phenomenon,2
compulsion,hypocrisy,2
incongruity,lameness,3
malnutrition,effects,2
prejudice,inequality,2
discrimination,inequality,2
pcos,hypertension,4
freedom,uncertainty,2
landfilling,generation,2
familiarity,credibility,2
manmade,disasters,2
phenomena,tumorigenesis,2
phenomena,carcinogenesis,2
biofeedback,confusion,2
act,limitation,2
corportisation,privatisation,2
capricorn,business,2
violence,outrage,2
techniques,foods,2
product,success,2
erection,annoyance,2
exercise,ice,2
tissues,water,2
pinhole,corrosion,2
profit,body,2
loss,body,2
sales,competitors,2
pbdes,environment,2
camels,surra,2
total,sickness,2
total,mortification,2
hookworms,anaemia,3
personality,identification,3
drugs,ovaries,2
centralization,losses,2
delay,shenanigans,2
angst,illness,2
doubts,angst,2
renato,mischief,2
macrosomia,baby,2
relationship,lease,3
cancer,stabilizers,2
consultations,cipfa,2
bug,blood,2
civilisation,diseases,2
blindness,lungs,2
disorder,failure,2
theory,ultraleft,2
sulfites,allergies,3
love,worry,2
industrialization,dislocations,2
collectivization,dislocations,2
corruption,bribery,2
presence,riff,2
turbulence,bifurcation,2
turbulence,split,2
gh,giantism,2
hallucination,fatalities,2
alleviation,discomfort,2
anger,pains,2
numbness,pains,2
hubris,mistake,2
apathy,mistakes,2
passions,pursuits,2
contemplation,trepidation,3
contemplation,fear,3
contemplation,uncertainty,3
ignorance,avijja,2
humans,illnesses,2
injustice,wealth,2
consumption,drunkenness,2
dentures,irritations,2
divorce,breakdown,2
service,stigma,2
hunger,lightheadedness,2
methanol,benefits,2
porelasticity,coupling,5
communists,famine,2
laxatives,motility,2
ice,havoc,2
behavior,rsi,2
medications,sweating,2
sex,miscarriage,4
revolutionists,revolutions,2
amiba,claim,2
alliances,wars,2
toxicity,cancers,2
dialogue,discovery,2
immersion,fluency,2
documents,failure,2
bully,anger,2
borders,tragedies,2
spicules,retraction,2
tolcapone,fatalities,3
psychostimulants,dysfunction,2
limitation,inconvenience,3
clues,alcatraz,3
patterns,injury,2
asanas,fatigue,2
empowerment,equality,2
chaos,variability,3
blessings,realization,2
complications,limitations,4
people,relations,2
coronavirus,outbreak,3
guilt,ed,2
interactions,risk,2
money,enemy,2
germs,rashes,2
germs,breakouts,2
software,paintings,2
differences,variances,2
printing,charges,2
orbits,infinity,2
ad,neurotoxicity,2
love,thoughts,2
merger,closure,2
maltreatment,fractionation,2
position,wealth,2
hmpv,symptoms,2
concentration,keenness,2
concentration,sharpness,2
situation,wars,5
indium,liver,3
indium,pneumonia,3
indium,blood,3
competition,evolutions,2
motorcycling,loss,2
bible,church,2
cycle,riots,5
cycle,protests,5
metals,inhibition,2
misrule,revolutions,5
lord,death,2
moses,freedom,2
neurotransmitters,genes,2
extraversion,traits,2
neuroticism,traits,2
sediments,substances,2
dust,nosebleeds,2
aging,blindness,3
photographs,stress,4
job,disorder,3
acme,beauty,4
manipulations,values,3
shots,symptoms,2
cyprus,problems,4
ethoxilates,acne,2
treatment,mineral,2
tourettes,symptoms,2
flexibility,wellness,2
epliepsy,stigmas,2
action,court,2
gerrymandering,problems,2
accident,diversion,2
tenderheartedness,simplicity,2
idolatry,depravity,2
traditions,inertia,3
bowl,vision,2
bowl,intuition,2
dizziness,forgetfulness,2
terrorists,disruption,2
disease,struggles,2
urgency,ed,3
controversy,clicks,2
reflux,indigestion,2
backup,indigestion,2
neglect,indicators,2
hantaviruses,diseases,2
atoms,disease,2
attacks,aura,2
torpor,dissatisfaction,2
bison,conflicts,2
grizzlies,conflicts,2
anger,animosity,2
nihilism,violence,2
measures,retrenchment,3
developments,bioinformatics,3
testes,problems,2
misunderstandings,insult,2
misunderstandings,gift,2
chlorine,taste,2
spill,slip,2
holiday,yin,2
colds,allergies,2
slip,drag,2
blood,anxiety,4
exposure,revenue,3
anxieties,request,2
oblivion,exile,2
fracture,deterioration,2
gout,suffering,2
moisture,sticking,2
emergency,interruptions,3
discovery,excavations,2
surgery,malnutrition,2
outbreaks,injury,2
artifice,peacock,2
act,despair,2
excesses,depression,2
excesses,schizophrenia,2
bmi,ahi,2
color,sapphire,2
chemicals,sensitivities,2
chemical,reactions,2
infections,tenderness,3
reign,hope,2
changes,phenomenon,3
processes,injury,2
atrophy,problems,2
malabsorption,flatulence,2
malabsorption,weakness,2
reverse,hook,2
victory,expulsion,2
flour,sugar,2
actions,rebirth,2
oversight,expiration,2
bacterium,nocardiosis,2
bacterium,mycetoma,2
concussion,hoof,4
inflation,bubble,2
hospitalization,scic,2
deficiencies,penalties,2
catheter,sepsis,2
toxicity,debris,2
outcome,impact,2
outcome,transients,2
stalemate,sinkholes,2
bankruptcy,closure,2
contamination,sickness,3
coursework,mph,2
reconvictions,sentence,2
formation,stress,2
saints,bells,2
money,wastage,2
egress,injury,2
modification,errors,2
multipath,interference,2
trip,aches,3
geology,mudslide,2
